"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2010","Total","Both Sexes","Montgomery (AL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","205764","1,2"
"United States of America","2010","Total","Both Sexes","Moreno Valley (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","193365","1,2"
"United States of America","2010","Total","Both Sexes","Murrieta (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103466","1,2"
"United States of America","2010","Total","Both Sexes","Murfreesboro (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108755","1,2"
"United States of America","2010","Total","Both Sexes","Naperville (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","141853","1,2"
"United States of America","2010","Total","Both Sexes","Nashville-Davidson (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","601222","1,2,10"
"United States of America","2010","Total","Both Sexes","New Haven (CT)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","129779","1,2"
"United States of America","2010","Total","Both Sexes","New Orleans (LA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","343829","1,2"
"United States of America","2010","Total","Both Sexes","New York (NY)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","8175133","1,2"
"United States of America","2010","Total","Both Sexes","Newark (NJ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","277140","1,2"
"United States of America","2010","Total","Both Sexes","Newport News (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","180719","1,2"
"United States of America","2010","Total","Both Sexes","Norfolk (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","242803","1,2"
"United States of America","2010","Total","Both Sexes","Norman (OK)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","110925","1,2"
"United States of America","2010","Total","Both Sexes","North Las Vegas (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","216961","1,2"
"United States of America","2010","Total","Both Sexes","Norwalk (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105549","1,2"
"United States of America","2010","Total","Both Sexes","Oakland (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","390724","1,2"
"United States of America","2010","Total","Both Sexes","Oceanside (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","167086","1,2"
"United States of America","2010","Total","Both Sexes","Oklahoma City (OK)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","579999","1,2"
"United States of America","2010","Total","Both Sexes","Olathe (KS)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","125872","1,2"
"United States of America","2010","Total","Both Sexes","Omaha (NE)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","408958","1,2"
"United States of America","2010","Total","Both Sexes","Ontario (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","163924","1,2"
"United States of America","2010","Total","Both Sexes","Orange (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","136416","1,2"
"United States of America","2010","Total","Both Sexes","Orlando (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","238300","1,2"
"United States of America","2010","Total","Both Sexes","Overland Park (KS)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","173372","1,2"
"United States of America","2010","Total","Both Sexes","Oxnard (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","197899","1,2"
"United States of America","2010","Total","Both Sexes","Palmdale (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","152750","1,2"
"United States of America","2010","Total","Both Sexes","Palm Bay City (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103190","1,2"
"United States of America","2010","Total","Both Sexes","Paradise (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","223167","1,2,6"
"United States of America","2010","Total","Both Sexes","Pasadena (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","137122","1,2"
"United States of America","2010","Total","Both Sexes","Pasadena (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","149043","1,2"
"United States of America","2010","Total","Both Sexes","Paterson (NJ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","146199","1,2"
"United States of America","2010","Total","Both Sexes","Pembroke Pines (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","154750","1,2"
"United States of America","2010","Total","Both Sexes","Peoria (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","154065","1,2"
"United States of America","2010","Total","Both Sexes","Peoria (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","115007","1,2"
"United States of America","2010","Total","Both Sexes","Philadelphia (PA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","1526006","1,2"
"United States of America","2010","Total","Both Sexes","Phoenix (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","1445632","1,2"
"United States of America","2010","Total","Both Sexes","Pittsburgh (PA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","305704","1,2"
"United States of America","2010","Total","Both Sexes","Plano (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","259841","1,2"
"United States of America","2010","Total","Both Sexes","Pomona (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","149058","1,2"
