time,city,state,shape,duration,summary,posted,lat,lon
10/16/2008 09:08,Fairfield,CA,Rectangle,,"me and my friend were in his garage and my friend said ""HOLY CRAP"" i think im looking a UFO then i look and it has 4 white lights and 1",10/31/2008,38.2493581,-122.0399663
10/16/2008 00:55,Woodland,CA,Light,2.5 min,"Strange Pulsating Red Light Vanishes Without A Trace,",10/31/2008,38.6785157,-121.7732971
10/15/2008 16:00,San Diego,CA,Other,5 seconds,"""Cloud"" shape moving south, no lights,sound or exhaust at about 16:00",01/24/2012,32.715738,-117.1610838
10/15/2008 12:00,Irvine,CA,Disk,10 seconds,Disc hovering at a southernmost tilt west of NB I-405 at Irvine Medows CA,03/19/2009,33.6839473,-117.7946942
10/14/2008 22:35,Manteca,CA,Circle,~ 5 min.,"~10:35 PM, Central Valley California. 10/14/08 Looking North",10/31/2008,37.7974273,-121.2160526
10/14/2008 17:00,Vallejo,CA,Sphere,10-12 seconds,"Sunning in backyard, small round object, gray and transluscent, incredible speed, 10 to 12 seconds.",10/31/2008,38.1040864,-122.2566367
10/14/2008 10:00,Hemet,CA,Formation,10 minutes,Three poeple seen 25 to 50 star-like flying objects,10/31/2008,33.7475203,-116.9719684
10/14/2008 00:00,Barstow,CA,Other,10 seconds,Blue Beam project known seen from the high desert in CA.,09/30/2013,34.8957957,-117.0172826
10/13/2008 10:15,San Francisco,CA,Circle,15m,What caught my attention was how close they were together.  I thought it was vapor trials from two planes that was going to land at sfo,10/31/2008,37.7749295,-122.4194155
10/13/2008 09:20,Clovis,CA,Other,50 minutes,"Thousands of transparent, faintly illuminated objects flying over Clovis, CA 10/13/08 9:20 pm",10/31/2008,34.4047987,-103.2052272
10/13/2008 05:30,Santa Rosa,CA,Light,10 seconds,I was standing outside early in the morning looking at the stars and i noticed what appeared to me as one of the stars started to mve i,10/31/2008,38.440429,-122.7140548
10/11/2008 22:30,Los Angeles,CA,Triangle,30 seconds,Large Triangle sighted over L.A,10/31/2008,34.0522342,-118.2436849
10/11/2008 19:00,Riverside,CA,Light,1 min approx,Bright light moving from NW to SE,10/31/2008,33.9533487,-117.3961564
10/11/2008 06:00,Concord,CA,Light,2-3 minutes,"Very small lights, very high. moved at great speed and cganged direction. Not aircraft.",10/31/2008,37.9779776,-122.0310733
10/11/2008 02:35,Monrovia,CA,Unknown,,"Above my home a large/huge dark unshaped figuer, blending in as a star passing threw from east to west in 15min",10/31/2008,6.313333,-10.801389
10/10/2008 22:00,San Diego,CA,Disk,30 seconds,low flying saucer in suburban area.  ((NUFORC Note:  Student report.  PD)),10/31/2008,32.715738,-117.1610838
10/10/2008 10:22,Fremont,CA,Triangle,1 minute,"I saw a brightly lightes v shaped ufo while driving through fremont,ca.",10/31/2008,37.5482697,-121.9885719
10/09/2008 22:30,Martinez,CA,Light,5 minutes,3 lighted circular air craft dropped straight down out of my view into the hills.,10/31/2008,38.0193657,-122.1341321
